Date,Open,High,Low,Close
6/10/2019,2885.83,2904.77,2885.51,2886.73
6/7/2019,2852.87,2884.97,2852.87,2873.34
6/6/2019,2828.51,2852.1,2822.45,2843.49
6/5/2019,2818.09,2827.28,2800.92,2826.15
6/4/2019,2762.64,2804.49,2762.64,2803.27
6/3/2019,2751.53,2763.07,2728.81,2744.45
5/31/2019,2766.15,2768.98,2750.52,2752.06
5/30/2019,2786.94,2799,2776.74,2788.86
5/29/2019,2790.25,2792.03,2766.06,2783.02
5/28/2019,2830.03,2840.51,2801.58,2802.39
5/24/2019,2832.41,2841.36,2820.19,2826.06
5/23/2019,2836.7,2836.7,2805.49,2822.24
5/22/2019,2856.06,2865.47,2851.11,2856.27
5/21/2019,2854.02,2868.88,2854.02,2864.36
5/20/2019,2841.94,2853.86,2831.29,2840.23
5/17/2019,2858.6,2885.48,2854.23,2859.53
5/16/2019,2855.8,2892.15,2855.8,2876.32
5/15/2019,2820.38,2858.68,2815.08,2850.96
5/14/2019,2820.12,2852.54,2820.12,2834.41
5/13/2019,2840.19,2840.19,2801.43,2811.87
5/10/2019,2863.1,2891.31,2825.39,2881.4
5/9/2019,2859.84,2875.97,2836.4,2870.72
5/8/2019,2879.61,2897.96,2873.28,2879.42
5/7/2019,2913.03,2913.03,2862.6,2884.05
5/6/2019,2908.89,2937.32,2898.21,2932.47
5/3/2019,2929.21,2947.85,2929.21,2945.64
5/2/2019,2922.16,2931.68,2900.5,2917.52
5/1/2019,2952.33,2954.13,2923.36,2923.73
4/30/2019,2937.14,2948.22,2924.11,2945.83
4/29/2019,2940.58,2949.52,2939.35,2943.03
4/26/2019,2925.81,2939.88,2917.56,2939.88
4/25/2019,2928.99,2933.1,2912.84,2926.17
4/24/2019,2934,2936.83,2926.05,2927.25
4/23/2019,2909.99,2936.31,2908.53,2933.68
4/22/2019,2898.78,2909.51,2896.35,2907.97
4/18/2019,2904.81,2908.4,2891.9,2905.03
4/17/2019,2916.04,2918,2895.45,2900.45
4/16/2019,2912.26,2916.06,2900.71,2907.06
4/15/2019,2908.32,2909.6,2896.48,2905.58
4/12/2019,2900.86,2910.54,2898.37,2907.41
4/11/2019,2891.92,2893.42,2881.99,2888.32
4/10/2019,2881.37,2889.71,2879.13,2888.21
4/9/2019,2886.58,2886.88,2873.33,2878.2
4/8/2019,2888.46,2895.95,2880.78,2895.77
4/5/2019,2884.16,2893.24,2882.99,2892.74
4/4/2019,2873.99,2881.28,2867.14,2879.39
4/3/2019,2876.09,2885.25,2865.17,2873.4
4/2/2019,2868.24,2872.9,2858.75,2867.24
